title,genres
The Da Vinci Code,Thriller
The Terminal,Comedy
The Terminal,Drama
The Terminal,Romance
Titanic,Drama
Titanic,Romance
City of God,Crime
City of God,Drama
Full Metal Jacket,Drama
Full Metal Jacket,War
E.T. the Extra-Terrestrial,Adventure
E.T. the Extra-Terrestrial,Family
E.T. the Extra-Terrestrial,Sci-Fi
The Matrix,Action
The Matrix,Sci-Fi
The Matrix Reloaded,Action
The Matrix Reloaded,Sci-Fi
The Matrix Revolutions,Action
The Matrix Revolutions,Sci-Fi
Men in Black,Action
Men in Black,Adventure
Men in Black,Comedy
Men in Black II,Action
Men in Black II,Adventure
Men in Black II,Comedy
Munich,Action
Munich,Drama
Munich,History
Wild Strawberries,Drama
Wild Strawberries,Romance
The Last Samurai,Action
The Last Samurai,Drama
Wild Things,Crime
Wild Things,Drama
Wild Things,Mystery
The Bodyguard,Action
The Bodyguard,Drama
The Bodyguard,Music
Ghostbusters,Action
Ghostbusters,Comedy
Ghostbusters,Fantasy
The Ninth Gate,Mystery
The Ninth Gate,Thriller
Easy Rider,Adventure
Easy Rider,Drama
Interview with the Vampire,Drama
Interview with the Vampire,Fantasy
Interview with the Vampire,Horror
Bridget Jones's Diary,Comedy
Bridget Jones's Diary,Drama
Bridget Jones's Diary,Romance
Life Is Beautiful,Comedy
Life Is Beautiful,Drama
Life Is Beautiful,Romance
Catch Me If You Can,Biography
Catch Me If You Can,Crime
Catch Me If You Can,Drama
Final Fantasy VII: Advent Children,Action
Final Fantasy VII: Advent Children,Adventure
Final Fantasy VII: Advent Children,Animation
Boyz n the Hood,Crime
Boyz n the Hood,Drama
Troy,Adventure
Troy,Drama
Saw IV,Horror
Saw IV,Mystery
Saw IV,Thriller
Central Station,Drama
Oldboy,Action
Oldboy,Drama
Oldboy,Mystery
Harry Potter and the Sorcerer's Stone,Adventure
Harry Potter and the Sorcerer's Stone,Family
Harry Potter and the Sorcerer's Stone,Fantasy
Harry Potter and the Chamber of Secrets,Adventure
Harry Potter and the Chamber of Secrets,Family
Harry Potter and the Chamber of Secrets,Fantasy
Harry Potter and the Prisoner of Azkaban,Adventure
Harry Potter and the Prisoner of Azkaban,Family
Harry Potter and the Prisoner of Azkaban,Fantasy
Harry Potter and the Goblet of Fire,Adventure
Harry Potter and the Goblet of Fire,Family
Harry Potter and the Goblet of Fire,Fantasy
Harry Potter and the Order of the Phoenix,Action
Harry Potter and the Order of the Phoenix,Adventure
Harry Potter and the Order of the Phoenix,Family
Pulp Fiction,Crime
Pulp Fiction,Drama
The Bridges of Madison County,Drama
The Bridges of Madison County,Romance
